               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.020283,           0.0092974,                   0,             0.91613,             0.88889,              0.9406,             0.63641,            0.037799,            0.011894,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.019657,            0.009901,                   0,             0.92109,             0.88889,             0.92293,             0.63305,            0.039731,            0.011885,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.022471,           0.0096253,                   0,             0.95705,             0.88889,             0.97582,             0.63479,             0.03798,            0.011581,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.019525,            0.008657,                   0,             0.92705,             0.94171,             0.98079,             0.63864,            0.038996,            0.011146,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.019484,           0.0096993,                   0,             0.91716,             0.92593,             0.95717,             0.63139,            0.039147,            0.011429,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.022701,            0.010047,                   0,               0.896,             0.95744,             0.97725,             0.64101,            0.036215,            0.010753,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.022524,            0.010605,                   0,             0.87793,             0.96296,             0.97725,             0.62279,            0.036623,             0.01034,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.021107,           0.0088386,                   0,             0.86673,             0.96354,             0.97981,             0.64383,            0.036288,             0.01025,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.019749,           0.0086698,                   0,             0.86768,             0.97171,             0.97479,             0.63118,            0.037351,            0.010652,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.018958,           0.0099793,                   0,             0.95344,             0.85185,             0.97581,             0.63181,            0.038085,             0.01102,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.020293,           0.0094508,                   0,             0.95283,             0.85185,             0.96208,             0.64751,            0.037132,            0.011487,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.020816,            0.010059,                   0,             0.95713,             0.85185,             0.93767,             0.63288,            0.037307,            0.013008,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.020063,           0.0090117,                   0,             0.94453,             0.81481,             0.92675,             0.61472,            0.037318,            0.014075,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.018594,             0.00941,                   0,             0.94957,             0.81481,             0.92096,             0.61905,            0.036943,            0.014644,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.018225,           0.0093985,                   0,                   1,             0.77535,             0.91993,             0.62159,            0.038248,            0.014826,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.018964,            0.010616,                   0,             0.99802,             0.74074,             0.91706,             0.61992,            0.038893,            0.015262,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.019565,           0.0091707,                   0,             0.94449,             0.77778,             0.92536,             0.62097,            0.038214,            0.015521,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.019497,            0.010352,                   0,                   1,             0.77401,             0.94594,             0.61778,            0.037312,            0.015379,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.019685,            0.008332,                   0,             0.98708,             0.77778,             0.94995,              0.6004,            0.037455,            0.015117,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.017572,           0.0091686,                   0,             0.99181,             0.77778,              0.9586,             0.61118,            0.036802,            0.013847,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.020814,           0.0092693,                   0,                   1,             0.80378,             0.96871,             0.61809,            0.035928,            0.013215,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.018976,           0.0080782,                   0,             0.85811,             0.89615,             0.96511,             0.63679,            0.036927,            0.013058,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.018478,           0.0095643,                   0,             0.86232,             0.85185,             0.96484,             0.62018,            0.036539,            0.013608,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,             0.01898,           0.0099919,                   0,                   1,             0.80767,             0.96375,             0.61836,            0.036404,            0.013685,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,              0.0223,           0.0092573,                   0,                   1,             0.80892,              0.9621,             0.66105,            0.035693,            0.012861,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.021203,           0.0090093,                   0,             0.92299,             0.88784,             0.94944,             0.65305,            0.036309,              0.0121,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,            0.020629,           0.0095355,                   0,             0.98795,             0.85185,             0.92934,             0.66102,            0.036693,            0.011558,                   0,            0.006931,            0.006931,            0.006931
                 157,             0.02098,           0.0092517,                   0,             0.96748,             0.85185,             0.95122,             0.66551,            0.034172,            0.012173,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.021414,           0.0096293,                   0,             0.97692,             0.85185,             0.95151,              0.6759,             0.03355,            0.012332,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.018351,           0.0081694,                   0,             0.99681,             0.85185,             0.94725,             0.65174,            0.033409,            0.012916,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.020169,           0.0087821,                   0,             0.99358,             0.81481,             0.94256,             0.61996,            0.034458,            0.013505,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,            0.022006,            0.009232,                   0,             0.96103,              0.9138,             0.94764,              0.6132,            0.036129,            0.013065,                   0,            0.006832,            0.006832,            0.006832
                 162,            0.021784,            0.011225,                   0,             0.96153,             0.92581,             0.94489,             0.60758,             0.03737,            0.012051,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,            0.021265,           0.0090504,                   0,             0.95197,             0.92593,             0.95274,              0.6239,            0.037903,             0.01237,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,            0.020898,            0.011194,                   0,             0.95987,             0.88589,             0.94329,             0.62377,            0.037803,            0.013242,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,            0.018861,           0.0091676,                   0,             0.95959,             0.87978,             0.92958,             0.60272,            0.038079,            0.013806,                   0,           0.0067528,           0.0067528,           0.0067528
